Reg_cislo,Poradi,CJL_body,MA_body,MA_skola,Celkem,Prijat,Důvod_neprijeti
811877,243,18,23,34.5,52.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
806855,244,16,24,36,52,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813643,245,13,25,37.5,50.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811948,246,11,25,37.5,48.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819371,247,11,25,37.5,48.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811908,248,12,24,36,48,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
805728,249,11,24,36,47,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818053,250,13,21,31.5,44.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814040,251,17,18,27,44,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800987,252,13,20,30,43,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800512,253,11,21,31.5,42.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815431,254,15,18,27,42,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819064,255,11,18,27,38,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807419,nesplnil,9,36,54,63,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
817970,nesplnil,8,29,43.5,51.5,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
816915,nesplnil,9,24,36,45,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
818655,nesplnil,10,16,24,34,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
819224,nesplnil,9,15,22.5,31.5,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
817301,nesplnil,10,12,18,28,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
817055,nesplnil,10,11,16.5,26.5,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
819649,nesplnil,6,13,19.5,25.5,NE,Nepřijat_pro_nesplnění_podmínek_přijímacího_řízení
